row_num,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
14,12-20,Male,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,"Student Plan-Rs 59/month",Music,classical,Night,"Social gatherings or parties","leisure time","recommendations, Others",3,Never,None,None,None,None,"Very Dissatisfied"
15,12-20,Female,"6 months to 1 year","Smartphone, Computer or laptop, Wearable devices","Free (ad-supported)",No,None,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy","Workout session",Others,4,Rarely,Sports,"Story telling",Both,Longer,Dissatisfied
16,12-20,Male,"Less than 6 months","Computer or laptop","Free (ad-supported)",No,None,Music,Rap,Afternoon,"Relaxation and stress relief","While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
17,12-20,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,Melody,Night,"Relaxation and stress relief","While Traveling, Workout session, leisure time",Others,5,Daily,"Health and Fitness",Educational,"Well known individuals",Shorter,"Very Satisfied"
18,12-20,Female,"1 year to 2 years","Smart speakers or voice assistants","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Morning,"Sadness or melancholy","While Traveling",Radio,3,"Once a week","Health and Fitness","Story telling","unknown Podcasters",Both,Satisfied
19,12-20,Male,"More than 2 years",Smartphone,"Premium (paid subscription)",No,None,Music,Melody,Afternoon,"Relaxation and stress relief","While Traveling, leisure time",recommendations,3,Rarely,Comedy,"Story telling",Both,Both,Ok
20,12-20,Male,"More than 2 years","Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices","Premium (paid subscription)",Yes,"Family Plan-Rs 179/month",Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",3,"Once a week",Comedy,Conversational,Both,Both,Satisfied
21,12-20,Female,"6 months to 1 year","Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Uplifting and motivational","While Traveling",Radio,2,"Once a week","Health and Fitness","Story telling","unknown Podcasters",Longer,Ok
22,12-20,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief","While Traveling",recommendations,4,Rarely,"Lifestyle and Health",Conversational,Both,Shorter,Satisfied
23,12-20,Female,"1 year to 2 years","Computer or laptop","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,Rap,Morning,"Uplifting and motivational","While Traveling",Radio,2,"Once a week","Health and Fitness","Story telling","unknown Podcasters",Both,Ok
24,12-20,Female,"6 months to 1 year","Computer or laptop","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Sadness or melancholy","While Traveling, leisure time",recommendations,3,"Once a week","Lifestyle and Health",Educational,Both,Both,Satisfied
25,12-20,Female,"6 months to 1 year","Computer or laptop","Premium (paid subscription)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Sadness or melancholy","While Traveling",Radio,3,"Once a week",Sports,"Story telling","unknown Podcasters",Both,Ok
26,12-20,Female,"6 months to 1 year","Computer or laptop","Premium (paid subscription)",No,None,Podcast,Melody,Afternoon,"Uplifting and motivational","While Traveling",Radio,2,Daily,"Health and Fitness",Interview,"Well known individuals",Longer,Ok
27,12-20,Male,"6 months to 1 year","Smartphone, Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Student Plan-Rs 59/month",Podcast,Rap,Morning,"Relaxation and stress relief","Office hours, While Traveling, Workout session",recommendations,4,"Several times a week","Lifestyle and Health","Story telling",Both,Longer,Satisfied
28,12-20,Male,"1 year to 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling",Others,3,Never,None,None,None,None,Ok
29,12-20,Female,"6 months to 1 year","Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Morning,"Uplifting and motivational","Study Hours",Radio,3,"Several times a week","Health and Fitness",Interview,"unknown Podcasters",Longer,Satisfied
30,12-20,Female,"1 year to 2 years","Smart speakers or voice assistants","Premium (paid subscription)",No,None,Podcast,classical,Afternoon,"Sadness or melancholy","Study Hours, While Traveling","Playlists, Others",4,"Several times a week","Health and Fitness",Interview,"unknown Podcasters",Longer,Satisfied
31,12-20,Female,"6 months to 1 year","Computer or laptop","Premium (paid subscription)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Morning,"Sadness or melancholy","While Traveling",Playlists,3,"Once a week",Sports,Interview,Both,Longer,Ok
32,12-20,Female,"1 year to 2 years","Computer or laptop","Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Podcast,Melody,Afternoon,"Sadness or melancholy","While Traveling",Radio,3,"Several times a week","Health and Fitness","Story telling",Both,Longer,"Very Satisfied"
33,12-20,Male,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Uplifting and motivational","Workout session","recommendations, Playlists",3,Never,None,None,None,None,Ok
34,12-20,Male,"More than 2 years",Smartphone,"Free (ad-supported)",Yes,None,Music,Pop,Night,"Relaxation and stress relief","While Traveling",recommendations,3,Rarely,Comedy,Conversational,Both,Both,Ok
35,12-20,Female,"1 year to 2 years","Computer or laptop","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Uplifting and motivational","Study Hours",Radio,3,Rarely,"Lifestyle and Health",Conversational,"unknown Podcasters",Longer,Satisfied
36,12-20,Male,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Rap,Night,"Uplifting and motivational","Workout session",Others,1,Never,None,None,None,None,Ok
37,12-20,Female,"6 months to 1 year","Smart speakers or voice assistants","Free (ad-supported)",No,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Social gatherings or parties","Study Hours, While Traveling",Radio,3,Rarely,Sports,Conversational,"unknown Podcasters",Longer,Ok
38,12-20,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,Rap,Morning,"Relaxation and stress relief","Study Hours",Radio,3,"Once a week","Food and cooking","Story telling","Well known individuals",Shorter,Ok
39,12-20,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, leisure time",recommendations,4,Rarely,Comedy,"Story telling",Both,Shorter,Satisfied
40,12-20,Female,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3,Rarely,None,Interview,Both,Shorter,Ok
41,12-20,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,None,Both,Shorter,Ok
42,12-20,Male,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","While Traveling, Workout session",Playlists,3,Rarely,None,Conversational,Both,Both,Ok
43,12-20,Female,"More than 2 years",Smartphone,"Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,Pop,Night,"Uplifting and motivational","Study Hours, Workout session, leisure time","recommendations, Playlists",4,"Once a week",Comedy,Conversational,Both,Longer,"Very Satisfied"
44,12-20,Male,"1 year to 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,"Health and Fitness",Interview,"Well known individuals",Longer,"Very Satisfied"
45,12-20,Female,"6 months to 1 year","Smart speakers or voice assistants","Free (ad-supported)",No,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling","Playlists, Radio",3,"Several times a week",Sports,"Story telling",Both,Longer,Ok
46,12-20,Others,"6 months to 1 year","Computer or laptop","Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Music,Melody,Morning,"Uplifting and motivational","While Traveling",Radio,3,"Several times a week","Health and Fitness","Story telling","unknown Podcasters",Longer,Satisfied
47,12-20,Male,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Podcast,classical,Afternoon,"Sadness or melancholy","While Traveling, Workout session",Others,3,"Once a week","Lifestyle and Health",Conversational,Both,Both,Ok
48,12-20,Female,"6 months to 1 year","Computer or laptop","Free (ad-supported)",Yes,"Family Plan-Rs 179/month",Music,classical,Afternoon,"Sadness or melancholy","While Traveling, leisure time",Others,3,"Once a week","Health and Fitness",Educational,"unknown Podcasters",Both,Satisfied
49,12-20,Male,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,2,Never,None,None,None,None,Ok
50,12-20,Female,"6 months to 1 year","Smartphone, Computer or laptop","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Radio, Others",2,"Several times a week","Health and Fitness","Story telling",Both,Longer,Ok
51,12-20,Male,"6 months to 1 year","Computer or laptop","Free (ad-supported)",No,None,Podcast,Rap,Afternoon,"Uplifting and motivational","Study Hours",Others,3,"Once a week",Sports,Conversational,"unknown Podcasters",Both,Ok
52,12-20,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,"Student Plan-Rs 59/month",Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time",Playlists,5,Never,None,None,None,None,Satisfied
53,12-20,Female,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","leisure time","recommendations, Playlists, Others",3,"Once a week","Health and Fitness",Conversational,Both,Shorter,Ok
54,12-20,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,Melody,Night,"Sadness or melancholy","While Traveling, leisure time",recommendations,3,"Once a week",Comedy,"Story telling","unknown Podcasters",Both,Ok
55,12-20,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,"Student Plan-Rs 59/month",Music,Rap,Morning,"Relaxation and stress relief","While Traveling",recommendations,5,Daily,"Health and Fitness","Story telling",Both,Longer,"Very Satisfied"
56,12-20,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,Melody,Night,"Relaxation and stress relief","Study Hours, Workout session, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
57,12-20,Others,"1 year to 2 years","Computer or laptop","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,Rap,Night,"Sadness or melancholy","leisure time",Others,2,Rarely,"Health and Fitness","Story telling","unknown Podcasters",Both,Dissatisfied
58,12-20,Female,"1 year to 2 years","Computer or laptop","Premium (paid subscription)",No,"Individual Plan- Rs 119/ month",Music,classical,Morning,"Relaxation and stress relief","Study Hours",Playlists,2,"Once a week","Health and Fitness",Interview,"Well known individuals",Both,Ok
59,12-20,Female,"6 months to 1 year","Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Podcast,Rap,Afternoon,"Sadness or melancholy","Study Hours, While Traveling",Playlists,2,"Several times a week",Comedy,Educational,Both,Longer,Satisfied
60,12-20,Female,"6 months to 1 year","Computer or laptop","Premium (paid subscription)",No,"Duo plan- Rs 149/month",Music,Rap,Afternoon,"Sadness or melancholy","While Traveling",Radio,2,"Several times a week",Sports,Conversational,"unknown Podcasters",Longer,Satisfied
61,12-20,Female,"6 months to 1 year","Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Podcast,Rap,Afternoon,"Sadness or melancholy","Workout session",Radio,3,Rarely,Sports,"Story telling","unknown Podcasters",Both,Satisfied
62,12-20,Male,"6 months to 1 year","Computer or laptop","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Sadness or melancholy","Workout session","Radio, Others",3,Rarely,Sports,"Story telling","Well known individuals",Longer,Ok
63,12-20,Female,"1 year to 2 years","Computer or laptop, Smart speakers or voice assistants","Premium (paid subscription)",No,"Duo plan- Rs 149/month",Music,Rap,Afternoon,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, Workout session","Playlists, Radio, Others",2,"Several times a week","Health and Fitness","Story telling","unknown Podcasters",Longer,Ok
64,12-20,Female,"1 year to 2 years","Computer or laptop, Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Family Plan-Rs 179/month",Podcast,Melody,Night,"Sadness or melancholy","Study Hours",Radio,3,"Once a week",Comedy,Interview,"unknown Podcasters",Both,Ok
65,12-20,Female,"1 year to 2 years","Computer or laptop","Free (ad-supported)",Yes,"Family Plan-Rs 179/month",Podcast,Melody,Afternoon,"Uplifting and motivational","Workout session",Radio,3,Rarely,Sports,"Story telling","unknown Podcasters",Longer,"Very Satisfied"
66,12-20,Male,"More than 2 years","Computer or laptop, Smart speakers or voice assistants, Wearable devices","Free (ad-supported)",No,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Uplifting and motivational, Social gatherings or parties","While Traveling",Playlists,4,Rarely,Sports,Interview,Both,Both,"Very Satisfied"
67,12-20,Male,"6 months to 1 year","Smart speakers or voice assistants","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Relaxation and stress relief","While Traveling, leisure time",Radio,3,"Once a week",Sports,Interview,"Well known individuals",Both,"Very Dissatisfied"
68,12-20,Female,"6 months to 1 year","Computer or laptop","Premium (paid subscription)",No,None,Music,Pop,Afternoon,"Sadness or melancholy","While Traveling",Others,3,Rarely,"Health and Fitness",Interview,"unknown Podcasters",Both,Ok
69,12-20,Others,"1 year to 2 years","Smart speakers or voice assistants","Free (ad-supported)",No,"Duo plan- Rs 149/month",Music,classical,Afternoon,"Uplifting and motivational","Study Hours",Radio,3,Rarely,"Lifestyle and Health","Story telling","unknown Podcasters",Longer,Satisfied
70,12-20,Male,"More than 2 years","Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Student Plan-Rs 59/month",Podcast,classical,Afternoon,"Relaxation and stress relief","Study Hours",Playlists,3,"Several times a week","Health and Fitness","Story telling","Well known individuals",Longer,"Very Satisfied"
71,12-20,Female,"6 months to 1 year","Wearable devices","Premium (paid subscription)",Yes,"Duo plan- Rs 149/month",Podcast,Rap,Morning,"Relaxation and stress relief","While Traveling",Playlists,2,Rarely,Sports,None,"Well known individuals",Both,Ok
72,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling",recommendations,4,"Once a week",Comedy,"Story telling","Well known individuals",Shorter,Satisfied
73,20-35,Female,"More than 2 years","Smartphone, Computer or laptop, Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1,Rarely,Comedy,Interview,Both,Shorter,"Very Satisfied"
74,20-35,Male,"More than 2 years","Smartphone, Computer or laptop","Premium (paid subscription)",Yes,"Family Plan-Rs 179/month",Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours","recommendations, Radio",3,Rarely,"Lifestyle and Health",Conversational,Both,Both,Ok
75,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","While Traveling, Workout session, leisure time",Others,4,Never,None,None,None,None,Ok
76,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","Office hours, While Traveling",recommendations,4,Never,None,None,None,None,Ok
77,20-35,Female,"6 months to 1 year","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied
78,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief","While Traveling",Playlists,4,Rarely,"Lifestyle and Health",Conversational,"Well known individuals",Longer,Satisfied
79,20-35,Male,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","Office hours",Playlists,5,Rarely,Comedy,Interview,"Well known individuals",Both,Satisfied
80,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Rarely,Comedy,"Story telling","Well known individuals",Shorter,Ok
81,20-35,Female,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Pop,Morning,"Uplifting and motivational","Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3,"Several times a week",Business,"Story telling",Both,Shorter,Ok
82,20-35,Female,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,"Well known individuals",Shorter,Satisfied
83,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, ","recommendations, Playlists",5,"Once a week",Comedy,"Story telling",None,Both,Satisfied
84,20-35,Male,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, leisure time",Playlists,5,Never,None,None,None,None,Ok
85,20-35,Female,"Less than 6 months","Smartphone, Wearable devices","Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief","While Traveling, leisure time","recommendations, Playlists",3,"Once a week",Comedy,None,"Well known individuals",Shorter,Ok
86,20-35,Male,"1 year to 2 years","Smartphone, Computer or laptop, Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,"Story telling","unknown Podcasters",Shorter,"Very Satisfied"
87,20-35,Male,"More than 2 years","Smartphone, Computer or laptop, Wearable devices","Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, leisure time","Playlists, Radio",3,Daily,"Health and Fitness",Educational,Both,Shorter,Dissatisfied
88,20-35,Male,"Less than 6 months",Smartphone,"Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours",Others,4,Never,None,None,None,None,Ok
89,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,"Lifestyle and Health","Story telling",Both,Shorter,"Very Satisfied"
90,20-35,Female,"More than 2 years","Smartphone, Wearable devices","Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3,Rarely,"Lifestyle and Health",Educational,"Well known individuals",Shorter,Satisfied
91,20-35,Male,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,classical,Afternoon,"Relaxation and stress relief","While Traveling, leisure time",Playlists,3,Rarely,"Lifestyle and Health",Educational,Both,Shorter,Ok
92,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling",Playlists,4,"Once a week",Comedy,"Story telling",None,None,Satisfied
93,20-35,Female,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Pop,Morning,"Relaxation and stress relief","While Traveling, Workout session","recommendations, Playlists",4,Daily,Comedy,"Story telling",Both,Shorter,Satisfied
94,20-35,Male,"More than 2 years","Computer or laptop, Wearable devices","Premium (paid subscription)",Yes,"Family Plan-Rs 179/month",Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Satisfied
95,20-35,Male,"More than 2 years",Smartphone,"Free (ad-supported)",Yes,None,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,"Well known individuals",Both,Satisfied
96,20-35,Male,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Uplifting and motivational","leisure time",Others,3,Never,None,None,None,None,Ok
97,20-35,Male,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,"Story telling",Both,Shorter,Ok
98,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,3,Rarely,"Lifestyle and Health",Interview,Both,Shorter,Satisfied
99,20-35,Male,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","leisure time","recommendations, Others",3,Never,None,None,None,None,Ok
100,20-35,Male,"More than 2 years","Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,"Several times a week",Comedy,Conversational,Both,Both,"Very Satisfied"
101,20-35,Male,"More than 2 years","Smartphone, Computer or laptop","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours","recommendations, Playlists",4,Rarely,Comedy,"Story telling",Both,Shorter,Satisfied
102,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,"Food and cooking","Story telling",Both,Shorter,Ok
103,20-35,Female,"1 year to 2 years","Smartphone, Computer or laptop, Wearable devices","Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Music,Melody,Afternoon,"Relaxation and stress relief","leisure time",recommendations,5,Never,None,None,None,None,Ok
104,20-35,Female,"1 year to 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","Office hours, While Traveling, Workout session",Playlists,5,"Once a week","Lifestyle and Health",Interview,Both,Both,Satisfied
105,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Electronic/Dance,Afternoon,"Uplifting and motivational","While Traveling",Playlists,3,Never,None,None,None,None,Ok
106,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","leisure time","recommendations, Playlists",5,Rarely,"Lifestyle and Health",Conversational,"Well known individuals",Shorter,"Very Satisfied"
